x,y
146.5,-2.30914e+06
146.6,760659
146.7,1.03949e+06
146.8,-2.51174e+06
146.9,3.17992e+06
147,-2.82525e+06
147.1,1.55794e+06
147.2,217009
147.3,-1.9292e+06
147.4,3.02616e+06
147.5,-3.1516e+06
147.6,2.26111e+06
147.7,-637755
147.8,-1.19788e+06
147.9,2.65462e+06
148,-3.26112e+06
148.1,2.81833e+06
148.2,-1.46479e+06
148.3,-366642
148.4,2.08723e+06
148.5,-3.14162e+06
148.6,3.18706e+06
148.7,-2.20482e+06
148.8,507538
148.9,1.36027e+06
149,-2.7969e+06
149.1,3.33729e+06
149.2,-2.80355e+06
149.3,1.36349e+06
149.4,522088
149.5,-2.24686e+06
149.6,3.25392e+06
149.7,-3.21561e+06
149.8,2.14009e+06
149.9,-370075
150,-1.52638e+06
150.1,2.93815e+06
150.2,-3.40799e+06
150.3,2.78063e+06
150.4,-1.25399e+06
150.5,-683148
150.6,2.40769e+06
150.7,-3.36262e+06
150.8,3.23689e+06
150.9,-2.06677e+06
151,225454
151.1,1.69588e+06
151.2,-3.07792e+06
151.3,3.47281e+06
151.4,-2.74929e+06
151.5,1.13626e+06
151.6,849598
151.7,-2.56932e+06
151.8,3.46725e+06
151.9,-3.25054e+06
152,1.98469e+06
152.1,-73789.8
152.2,-1.86844e+06
152.3,3.21577e+06
152.4,-3.53133e+06
152.5,2.7093e+06
152.6,-1.0103e+06
152.7,-1.02119e+06
152.8,2.73133e+06
152.9,-3.56735e+06
153,3.25621e+06
153.1,-1.89374e+06
153.2,-84779.9
153.3,2.04371e+06
153.4,-3.35122e+06
